0	Domain	MBFC factual	Site Rank	W	MisinfoMe	Logically	Our.news	Get fact-checks for:
289	meforum.org	low	218,826	W	0.64	low	 	Middle East Forum
290	mercola.com	low	6,133	W	0.00	low	problematic	Mercola
291	merica1st.com	low	946,379	 	-0.60	unknown	 	National Conservative
292	micdroppolitics.com	low	1,523,661	 	 	medium	unverified	Mic Drop Politics
293	mixi.media	low	42,288	 	0.00	low	 	Mixi.Media
294	moonbattery.com	low	317,014	 	0.64	low	 	MoonBattery
295	mtonews.com	low	19,722	 	0.60	unknown	unverified	MTO News
296	myrightamerica.com	low	10,467,000	 	0.00	low	 	My Right American
297	natall.com	very-low	2,928,699	W	-0.54	low	 	National Alliance
298	nationaleconomicseditorial.com	low	1,649,565	 	0.20	low	 	National Economics Editorial
299	nationalenquirer.com	low	55,172	W	-0.68	low	unverified	National Enquirer
300	nationalfile.com	low	51,619	 	-0.68	low	problematic	National File
301	nationalinsiders.com	low	1,377,414	 	 	unknown	 	National Insiders
302	nationalrighttolifenews.org	low	1,014,698	 	0.54	low	 	NRL News Today
303	nationalsecurity.news	very-low	8,581,318	W	0.00	low	 	NationalSecurity.News
304	nationalvanguard.org	very-low	138,165	W	-0.41	low	unverified	National Vanguard
305	naturalmedicine.news	very-low	3,935,491	W	0.00	low	problematic	NaturalMedicine.News
306	naturalnews.com	very-low	18,138	W	-0.95	low	problematic	Natural News
307	naturalnewsblogs.com	very-low	289,298	W	-0.80	low	 	NaturalNewsBlogs
308	naturalnewsradio.com	very-low	3,023,044	W	0.00	low	problematic	Natural News Radio
309	naturalpedia.com	very-low	1,054,871	W	0.00	low	 	NaturalPedia.com
310	navarroreport.com	low	290,190	W	0.00	unknown	 	The Navarro Report
311	needtoknow.news	low	145,567	 	0.00	low	problematic	Need to Know
312	neonnettle.com	low	66,999	W	-0.94	low	problematic	Neon Nettle
313	newamericannews.com	low	13,193,223	 	0.00	low	problematic	New American News
314	newnation.org	very-low	1,929,909	 	-0.24	low	 	New Nation News
315	newsexaminer.net	low	2,892,385	W	 	low	 	NewsExaminer.net
316	newsfeedhunter.com	low	20,000,000	 	-0.95	low	problematic	News Feed Hunter
317	newsheist.com	low	6,804,930	 	0.00	medium	 	News Heist
318	newshourfirst.com	low	1,092,619	 	-0.60	unknown	 	News Hour First
319	newsinsideout.com	low	1,684,680	 	0.00	low	problematic	News Inside Out
320	newspunch.com	very-low	158,612	W	-0.93	low	problematic	News Punch
321	newspushed.com	low	362,232	 	0.00	low	 	News Pushed
322	newstarget.com	low	143,501	W	-0.85	low	problematic	News Target
323	newsview.gr	very-low	435,530	 	-0.93	unknown	 	Newsview
324	newswars.com	low	63,937	 	-1.00	low	unverified	NewsWars
325	newswithviews.com	low	196,438	 	-0.08	low	unverified	News with Views
326	noqreport.com	low	39,130	 	-0.58	medium	 	NOQ Report
327	notallowedto.com	low	978,627	 	-0.92	low	problematic	Not Allowed to
328	notrickszone.com	low	521,247	 	-0.76	low	problematic	NoTricksZone
329	now8news.com	very-low	1,741,848	W	-0.96	low	problematic	Now8News
330	nowtheendbegins.com	low	70,636	 	-0.66	low	problematic	Now The End Begins
331	npr.news	very-low	5,528,157	 	-0.60	low	 	NPR News
332	nrlc.org	low	1,688,241	W	0.72	low	 	National Right to Life Committee
333	nutrientreference.com	very-low	1,073,225	 	0.22	low	 	NutrientReference.com
334	nvic.org	low	169,286	W	-0.32	low	problematic	National Vaccine Information Institute
335	oann.com	low	44,743	W	-0.38	medium	problematic	One America News Network
336	oathkeepers.org	low	285,785	W	-0.45	low	unverified	Oath Keepers
337	occupydemocrats.com	low	1,078,213	W	-0.18	low	problematic	Occupy Democrats
338	organicconsumers.org	low	159,175	W	-0.12	low	problematic	Organic Consumers Association
339	other98.com	low	1,203,733	 	-0.06	unknown	 	The Other 98%
340	outragedpatriot.com	low	225,821	 	0.00	unknown	 	Outraged Patriot
341	oye.news	low	1,793,791	 	0.00	low	problematic	OYE News
342	pacificpundit.com	low	718,857	 	0.00	low	 	Pacific Pundit
343	pakalertpress.com	low	5,023,384	 	-0.61	low	 	Pak Alert Press
344	pandemic.news	very-low	227,086	W	0.00	low	problematic	Pandemic News
345	pantsonfirenews.com	low	344,493	 	0.00	low	 	Pants on Fire News
346	parler.com	low	816	W	-0.72	unknown	platform	Parler
347	patribotics.blog	low	402,918	W	-0.66	low	 	Patribotics Blog
348	patriotfetch.com	low	385,886	 	0.60	unknown	 	Patriot Fetch
349	patriotfires.com	low	18,546,520	 	0.00	low	 	Patriot Fires
350	patriotfront.us	very-low	3,998,368	W	-0.97	low	 	Patriot Front
351	patrioticviralnews.com	low	382,673	 	0.00	low	 	Patriotic Viral News
352	patriots4truth.org	very-low	1,774,180	 	-0.86	low	 	Patriots For Truth
353	pcmustdie.com	low	1,586,293	 	0.00	low	 	PC Must Die News
354	pdmj.org	very-low	668,616	 	0.00	unknown	 	Primary Doctor Medical Journal
355	personalinterpretation.com	low	7,968,385	 	-0.60	unknown	 	Personal Interpretation
356	personalliberty.com	low	785,189	 	0.54	low	unverified	Personal Liberty
357	political-discussion.com	low	5,062,616	 	-0.60	low	 	PoliticalDiscussion
358	politicsonline.net	low	4,352,561	 	-1.00	unknown	unverified	PoliticsOnline.Net
359	politifact.news	low	16,319,992	 	0.00	low	 	Poltifact News
360	pollution.news	very-low	1,392,194	 	0.00	low	 	Pollution News
361	pop.org	low	622,251	W	0.20	low	 	Population Research Institute
362	populist.press	low	20,077	 	-0.10	unknown	 	Populist Press
363	populistpress.com	low	28,811	 	0.60	unknown	 	Populist Press
364	powderedwigsociety.com	low	1,281,466	 	0.00	low	problematic	Powdered Wig Society
365	prageru.com	low	70,515	W	-0.72	low	unverified	PragerU
366	pravdareport.com	very-low	95,427	W	-0.74	low	 	Pravda Report
367	prepareforchange.net	low	150,007	 	0.22	low	problematic	Prepare for Change
368	presscalifornia.com	very-low	106,716	 	0.00	unknown	 	Press California
369	presstv.com	low	9,605	W	-0.27	low	problematic	Press TV
370	principia-scientific.com	low	113,087	 	-0.04	unknown	unverified	Principia Scientific
371	principia-scientific.org	low	445,805	 	0.14	low	problematic	Principia Scientific International
372	prisonplanet.com	very-low	62,113	W	0.19	low	problematic	Prison Planet
373	prntly.com	low	623,406	W	-0.90	low	problematic	Prntly
374	profam.org	low	8,988,247	 	0.00	unknown	 	International Organization for the Family
375	progressivestoday.com	low	20,000,000	 	-0.30	low	 	Progressives Today
376	prophecynewswatch.com	low	236,817	 	0.48	low	problematic	Prophecy News Watch
377	prophecytoday.com	low	1,021,648	 	0.24	low	problematic	Prophecy Today
378	protrumpnews.com	low	218,607	 	0.60	low	 	Pro Trump News
379	qanon.pub	very-low	44,694	 	-0.78	low	problematic	Q
380	rairfoundation.com	low	101,559	 	0.60	unknown	 	RAIR Foundation USA
381	randpaul.news	very-low	20,000,000	 	-0.60	low	 	RandPaul.News
382	rapturenewsnetwork.com	low	4,761,272	 	0.00	low	problematic	Rapture News Network
383	realclimatescience.com	low	299,724	 	-0.82	low	problematic	Real Climate Science
384	realconservativesunite.com	low	20,000,000	 	 	unknown	 	Real Conservatives Unite
385	realfarmacy.com	low	85,569	 	-0.56	low	problematic	REALfarmacy.com
386	realjewnews.com	very-low	432,297	 	0.02	low	problematic	Real Jew News
387	realnews24.com	low	2,902,001	 	0.22	low	problematic	Real News 24
388	redice.tv	low	172,575	W	-0.88	low	 	Red Ice TV
389	redpillpodcasts.com	very-low	935,508	 	 	unknown	 	RedPill Project
390	redstatewatcher.com	low	87,773	 	-0.96	low	problematic	Red State Watcher
391	redvoicemedia.com	low	50,767	 	-0.58	unknown	 	Red Voice Media
392	redwhiteandright.com	low	8,531,849	 	0.00	low	 	Red, White and Right
393	reformedmedia.net	low	935,495	 	 	unknown	 	Reformed Media
394	remnantnewspaper.com	low	369,830	W	0.34	unknown	 	The Remnant Newspaper
395	renewamerica.com	low	493,605	W	-0.10	â€”	 	Renew America
396	rense.com	very-low	40,996	W	0.03	low	problematic	Rense
397	researchantisemitism.ca	low	20,000,000	 	0.00	low	 	Center for Research of Radicalism and National Security
398	returnofkings.com	low	27,269	 	0.04	unknown	 	Return of Kings
399	returntonow.net	low	73,190	 	0.00	low	problematic	Return to Now
400	revolutionradio.org	low	2,550,078	 	-0.82	low	problematic	Revolution Radio
401	ria.ru	low	310	W	0.69	unknown	 	RIA Novosti
402	righterway.com	low	20,000,000	 	0.00	low	 	Righter Way
403	rightsidenews.com	low	1,164,585	 	0.74	unknown	 	Right Side News
404	rightwing.news	low	2,311,878	 	0.00	low	 	Right Wing News
405	rightwingnews.com	low	385,679	 	0.21	unknown	unverified	Right Side News
406	rightwingtribune.com	low	320,218	 	-1.00	low	problematic	Right Wing Tribune
407	rinf.com	low	1,537,065	W	0.07	low	 	RINF
408	ripostelaique.com	very-low	1,236,985	 	-0.91	unknown	problematic	Riposte Laique
409	rodong.rep.kp	very-low	73,293	W	 	unknown	 	Rodong Sinmun (North Korea)
410	roguereview.net	low	1,096,604	 	 	unknown	 	Rogue Review
411	rsbnetwork.com	low	96,642	 	-0.28	unknown	 	Right Side Broascasting Network
412	rt.com	very-low	294	W	0.04	low	problematic	RT News
413	rumble.com	low	1,304	W	-0.80	unknown	 	Rumble
414	rushlimbaugh.com	very-low	31,084	W	-0.76	low	problematic	The Rush Limbaugh Show
415	russia-insider.com	low	22,909	W	-0.88	low	 	Russia Insider
416	ruthinstitute.org	low	8,032,443	W	0.02	unknown	 	Ruth Institute
417	sanevax.org	low	1,527,914	 	-0.32	low	problematic	SaneVax
418	santeplusmag.com	low	92,479	 	-0.84	unknown	 	Sante Plus Magazine
419	savethemales.ca	low	857,663	 	0.40	low	problematic	Henry Makow
420	science.news	very-low	2,584,116	 	-0.44	low	problematic	Science.news
421	secondamendmentdaily.com	low	402,550	 	0.00	low	 	2nd Amendment Daily News
422	sgtreport.com	low	81,343	 	0.30	low	problematic	SGT Report
423	sheepkillers.com	low	20,000,000	 	-1.00	low	problematic	Sheep Killers
424	shoebat.com	low	234,007	W	-0.80	low	problematic	Shoebat
425	shtfplan.com	low	71,239	 	-0.32	low	unverified	SHTFplan.com
426	sickchirpse.com	very-low	184,898	 	-0.72	low	 	Sick Chirpse
427	skeptiko.com	very-low	574,910	 	-0.59	low	problematic	Skeptiko
428	smobserved.com	low	974,694	 	0.00	unknown	 	Santa Monica Observer
429	snanews.de	very-low	179,211	W	-0.44	unknown	 	Sputnik Germany
430	snopes.news	very-low	20,000,000	 	-0.50	low	 	Snopes News
431	sonsof1776.com	low	1,031,627	 	0.00	low	 	Sons of 1776
432	sonsoflibertymedia.com	low	113,190	 	 	unknown	 	Sons of Liberty Media
433	sott.net	low	24,484	 	-0.80	low	problematic	Signs of the Times
434	southfront.org	low	37,014	 	0.14	low	unverified	South Front
435	space.news	very-low	4,584,279	W	0.00	low	problematic	Space News
436	speech-point.com	low	20,000,000	 	-0.60	unknown	unverified	Speech Point
437	sputniknews.com	very-low	630	W	-0.11	low	problematic	Sputnik
438	squawker.org	low	4,140,731	 	0.00	low	 	Squawker
439	staresattheworld.com	low	2,208,490	 	0.00	unknown	 	Stares at the World
440	stateofthenation.co	low	125,516	 	0.00	unknown	 	State of the Nation
441	stateofthenation2012.com	low	108,514	 	-0.93	unknown	unverified	State of the Nation 2012
442	stillnessinthestorm.com	low	84,068	 	0.00	low	problematic	Stillness in the Storm
443	stonecoldtruth.com	low	375,390	 	0.20	unknown	 	Stone Cold Truth
444	stormcloudsgathering.com	low	1,295,672	 	-0.44	low	 	Storm Clouds Gathering
445	stormfront.org	very-low	53,395	W	-0.37	low	problematic	Stormfront
446	strategic-culture.org	very-low	138,978	 	0.20	low	unverified	Strategic Culture Foundation
447	summit.news	low	50,818	 	-0.90	low	unverified	Summit News
448	supplementreference.com	very-low	5,487,696	 	0.20	low	 	SupplementReference.com
449	supportisraelnow.com	low	4,301,173	 	-0.60	unknown	 	Support Israel Now
450	survivalblog.com	low	133,874	W	0.78	unknown	 	SurvivalBlog.com
451	sustainablepulse.com	low	585,841	 	0.34	low	problematic	Sustainable Pulse
452	swampdrain.com	low	1,175,192	 	0.00	unknown	 	SwampDrain.com
453	swarajyamag.com	low	18,044	W	-0.80	low	unverified	Swarajya
454	syrianews.cc	low	878,865	 	0.00	low	unverified	Syria News
455	takimag.com	low	70,587	W	-0.32	unknown	 	Taki's Magazine
456	talknetwork.com	very-low	7,337,096	 	0.00	low	 	Talk Network
457	teaparty.org	low	69,876	 	-0.72	unknown	problematic	Tea Party
458	technocracy.news	very-low	163,980	 	-1.00	low	problematic	Technocracy News
459	tfp.org	low	535,195	W	0.16	low	 	American Society for the Defense of Tradition, Family, and Property
460	thealternativedaily.com	low	54,778	 	-0.30	unknown	problematic	Alternative Daily
461	theamericanmirror.com	low	41,184	 	-0.86	unknown	problematic	The American Mirror
462	theautomaticearth.com	low	747,143	 	-0.46	high	 	The Automatic Earth
463	thebeardedpatriot.com	low	690,029	 	0.00	low	unverified	The Bearded Patriot
464	thebreakingnews.com	low	7,086,220	 	0.20	unknown	 	The Breaking News
465	thecoloradoherald.com	low	492,001	 	-0.60	unknown	unverified	The Colorado Herald
466	thecommonsenseshow.com	very-low	86,879	 	-0.92	low	problematic	The Common Sense Show
467	theconservativecentral.com	low	4,442,184	 	0.00	low	 	The Conservative Central
468	theconservativetreehouse.com	low	20,132	 	-0.79	low	problematic	The Last Refuge
469	thecovidworld.com	very-low	181,051	 	-0.14	 	 	The Covid World
470	thedailybell.com	low	552,145	 	0.46	low	 	The Daily Bell
471	thedailyconspiracy.com	low	561,490	 	0.00	low	problematic	The Daily Conspiracy
472	thedailysheeple.com	low	106,904	 	-0.30	low	problematic	The Daily Sheeple
473	thedcpatriot.com	low	167,952	 	-1.00	unknown	unverified	The DC Patriot
474	theduran.com	low	52,229	 	-0.40	low	problematic	The Duran
475	theexpose.uk	very-low	125,672	 	0.60	unknown	 	The Daily Expose
476	thefederalistpapers.org	low	138,049	 	-0.70	low	unverified	The Federalist Papers Project
477	theforbiddenknowledge.com	low	4,664,670	 	-0.09	low	 	The Forbidden Knowledge
478	thefreedomtimes.com	low	1,178,635	 	0.00	low	 	The Freedom Times
479	thefreethoughtproject.com	low	37,928	 	-0.50	low	problematic	Free Thought Project
480	thefullertoninformer.com	very-low	241,178	 	 	unknown	problematic	The Fullerton Informer
481	thegatewaypundit.com	very-low	7,661	W	-0.88	low	problematic	The Gateway Pundit
482	thegoldwater.com	low	357,615	 	-0.18	low	 	The Goldwater
483	thehealthyamerican.org	very-low	316,856	 	0.00	unknown	problematic	The Healthy American
484	thehighwire.com	low	331,493	 	0.00	low	problematic	The Highwire
485	thehornnews.com	low	78,597	 	0.54	unknown	problematic	The Horn
486	theirishsentinel.com	very-low	937,659	 	-0.60	 	 	Irish Sentinel
487	thelaughclub.net	low	719,565	 	-1.00	unknown	unverified	The Laugh Club
488	thelibertybeacon.com	low	481,121	 	-0.80	low	problematic	The Liberty Beacon
489	themillenniumreport.com	low	141,466	 	-1.00	low	unverified	The Millennium Report
490	themindunleashed.com	low	55,312	 	-0.99	low	problematic	The Mind Unleashed
491	thenationalpatriot.com	low	5,285,941	 	0.00	unknown	 	The National Patriot
492	thepatriotnation.net	low	598,241	 	-0.60	low	 	The Patriot Nation
493	thepublicdiscourse.com	low	231,465	W	0.26	unknown	unverified	Witherspoon Institute
494	thepuristonline.com	low	782,960	 	 	unknown	problematic	The Purist
495	theragingpatriot.org	low	427,826	 	 	unknown	 	The Raging Patriot
496	theredelephants.com	very-low	514,410	 	0.00	unknown	 	The Red Elephants
497	thereligionofpeace.com	low	208,662	 	0.28	unknown	 	The Religion of Peace
498	therightstuff.biz	very-low	36,434	 	-0.20	low	 	The Right Stuff
499	therundownlive.com	low	7,394,713	 	-1.00	low	problematic	The Rundown Live
500	thespectator.info	very-low	1,515,768	 	1.00	low	 	TheSpectator.info
501	thetruedefender.com	low	56,048	 	-0.28	unknown	 	The True Defender
502	thetruereporter.com	low	77,376	 	-1.00	unknown	 	The True Reporter
503	thetruthaboutcancer.com	low	48,603	 	-0.71	low	problematic	The Truth about Cancer
504	thetruthseeker.co.uk	low	75,766	 	-0.76	low	problematic	The Truth Seeker
505	thetruthvoice.net	low	4,511,804	 	-0.60	unknown	 	The Truth Voice
506	theunionjournal.com	low	92,758	 	0.00	low	unverified	The Union Journal
507	thevaccinereaction.org	low	513,174	 	-0.60	low	problematic	The Vaccine Reaction
508	thewashingtonstandard.com	low	81,447	 	-1.00	low	problematic	The Washington Standard
509	thinkamericana.com	low	331,448	 	-1.00	unknown	 	Think Americana
510	thinkinghumanity.com	low	121,377	 	0.56	low	problematic	Thinking Humanity
511	thinkingmomsrevolution.com	low	761,315	 	-0.64	low	problematic	Thinking Mom's Revolution
512	thoughtcrimeradio.net	very-low	3,286,305	 	0.00	low	problematic	Thought Crime Radio
513	thrivemovement.com	low	372,738	 	0.76	low	problematic	Thrive Movement
514	torontotoday.net	low	315,206	 	-1.00	unknown	unverified	Toronto Today
515	tpusa.com	low	506,498	W	-0.44	unknown	unverified	Turning Point USA
516	treason.news	very-low	1,580,032	 	0.60	low	 	Treason News
517	triggerreset.net	low	7,474,885	 	0.00	unknown	 	Trigger Reset
518	trueactivist.com	low	178,800	 	-0.30	low	unverified	Center for Immigration Studies
519	truepundit.com	low	22,078	 	-0.99	low	problematic	True Pundit
520	trueviralnews.com	very-low	1,045,548	 	0.00	low	 	True Viral News
521	trump.news	low	2,667,495	W	0.22	unknown	 	Trump.news
522	trunews.com	low	224,850	W	0.28	low	problematic	TruNews
523	truthandaction.org	low	455,179	 	-0.95	low	unverified	Truth and Action
524	truthinmedia.com	low	706,903	W	0.24	low	 	Truth in Media
525	truthmonitor.com	low	8,419,364	 	0.00	unknown	 	Truth Monitor
526	truthuncensored.net	low	1,891,616	 	0.00	unknown	problematic	Truth Uncensored
527	twisted.news	very-low	20,000,000	W	0.00	low	problematic	Twisted News
528	ukcolumn.org	low	267,164	 	0.28	low	problematic	UK Column
529	unclesamsmisguidedchildren.com	low	242,476	 	-0.50	low	 	Uncle Sam's Misguided Children
530	uncoverdc.com	low	103,080	 	-0.59	low	unverified	UncoverDC
531	understandingthethreat.com	low	1,957,091	 	-0.16	unknown	 	Understanding the threat
532	uniteamericafirst.com	low	287,133	 	0.00	low	 	Unite America First
533	unz.com	low	29,291	W	-0.29	low	unverified	The Unz Review
534	us24news.com	low	1,016,124	 	0.00	low	 	24 News
535	usahitman.com	low	684,861	 	-0.47	low	problematic	USA Hitman
536	usaisonline.com	very-low	20,000,000	 	0.00	low	 	USA is Online
537	usareally.com	very-low	1,258,926	 	0.00	low	 	USA Really
538	usasupreme.com	very-low	9,648,203	 	-0.76	low	problematic	USA Supreme
539	usawatchdog.com	low	145,796	 	-0.20	low	problematic	USAWatchdog.com
540	usbacklash.org	very-low	5,982,172	 	0.00	unknown	 	US Backlash
541	uschronicle.com	low	451,052	 	-1.00	unknown	unverified	US Chronicle
542	uslibertywire.com	low	606,948	 	0.00	unknown	 	US Liberty Wire
543	ussanews.com	low	101,190	 	0.02	medium	problematic	USSA News
544	vaccineimpact.com	very-low	162,777	 	0.00	low	problematic	Vaccine Impact
545	vaccines.news	very-low	718,243	W	0.00	low	problematic	Vaccine News
546	vaccinesafety.info	very-low	2,079,852	 	 	unknown	 	Vaccine Safety Info
547	vaccinesrevealed.com	very-low	288,363	 	-1.00	unknown	problematic	Vaccines Revealed
548	vactruth.com	low	1,191,591	 	-0.96	low	problematic	VacTruth.com
549	vaxxter.com	low	256,533	 	-1.00	low	problematic	Vaxxter
550	vdare.com	low	109,719	W	-0.47	low	 	Vdare
551	veteranstoday.com	very-low	36,989	 	-0.36	low	problematic	Veterans Today
552	vidmax.com	low	44,301	 	0.18	unknown	 	Vidmax
553	vigilantcitizen.com	low	62,302	 	-0.77	low	problematic	Vigilant Citizen
554	viralhatch.com	low	859,520	 	0.00	low	 	Viral Hatch
555	viralnewsnetwork.net	low	9,419,055	 	-1.00	low	problematic	Viral News Network
556	votefraud.news	very-low	1,408,130	 	0.00	low	 	Vote Fraud News
557	wakeup-world.com	low	119,968	 	0.32	low	 	Wake Up World
558	wakingtimes.com	low	91,606	 	-0.86	low	problematic	The Waking Times
559	wallbuilders.com	low	644,079	W	0.48	unknown	 	WallBuilders
560	waronfakes.com	very-low	131,761	 	0.60	unknown	 	War on Fakes
561	wattsupwiththat.com	low	43,516	W	-0.34	low	problematic	Watts Up with that
562	waynedupree.com	low	5,122	 	0.00	low	problematic	WayneDupree.com
563	welovetrump.com	very-low	28,143	 	-0.10	medium	 	We Love Trump
564	westernjournal.com/commentary	very-low	1,094	W	 	 	 	Conservative Tribune
565	westonaprice.org	low	205,392	W	0.70	low	problematic	Weston A. Price Foundation
566	whale.to	low	149,513	 	-0.20	low	problematic	Whale.to
567	whatreallyhappened.com	very-low	45,622	 	-0.50	low	problematic	What Really Happened
568	whitehouse.news	very-low	1,857,487	 	0.00	low	 	WhiteHouse.News
569	whydontyoutrythis.com	low	211,779	 	-0.43	low	problematic	Why Don't You Try This
570	wnd.com	low	6,067	W	-0.57	low	problematic	World Net Daily
571	worldaffairsbrief.com	very-low	1,750,897	W	0.32	low	problematic	World Affairs Brief
572	worlddoctorsalliance.com	very-low	581,498	 	0.00	unknown	 	World Doctors Alliance
573	worldgreynews.com	very-low	703,611	 	 	unknown	 	Fake News Generator
574	worldhealth.net	low	260,256	 	0.72	low	problematic	WorldHealth.Net
575	worldlifestyle.com	low	22,609	 	 	unknown	 	World Lifestyle
576	worldtribune.com	low	62,050	 	0.60	unknown	 	World Tribune
577	worldtruth.tv	very-low	160,990	W	-0.76	low	problematic	World Truth TV
578	x22report.com	low	172,647	 	-0.59	low	problematic	X22 Report
579	yaliberty.org	low	657,931	W	0.54	unknown	 	Young Americans for Liberty
580	yesimright.com	low	1,510,426	 	-1.00	low	unverified	Yes I'm Right
581	z3news.com	very-low	131,055	 	0.00	unknown	 	Z3 News
582	zenith.news	low	1,350,732	 	0.00	unknown	 	Zenith News
583	zerohedge.com	low	1,812	W	-0.80	low	problematic	Zerohedge